Song Name,Artist,Genre,Song Duration,YouTube Link
Kabhi Kabhi Mere Dil Mein,Mukesh,Classic Bollywood Romantic,4:44,https://youtu.be/BB6KvXQx090?si=vpKbvC3p08-z1Iv3
Ajib Dastan Hai Yeh,Lata Mangeshkar,Classic Bollywood,5:13,https://youtu.be/l7GR1S-HNGo?si=7KdG2_abbLvwbasO
Chala Jata Hoon,Kishore Kumar,Classic Bollywood,4:28,https://youtu.be/DQmHVxyKmAw?si=LRAusNjzYNlt5x8f
Do Lafzon Ki Hai,Asha Bhosle & Amitabh Bachchan,Classic Bollywood,4:49,https://youtu.be/waeAGdCvJd8?si=JxeG9z8xhlOH-I_V
Kisi Ki Muskurahaton Pe,Mukesh,Classic Bollywood,4:28,https://youtu.be/69pPYkGiEAQ?si=AKL2i0ml3YpS91MS
Lag Ja Gale Se Phir,Lata Mangeshkar,Classic Bollywood Ghazal,4:18,https://youtu.be/y2fgw1Oqz28?si=dyfUtjIBEhjpoWXw
Papa Kahte Hain,Udit Narayan,Bollywood Pop,5:55,https://youtu.be/FEvBiayarlc?si=6F8GQPie2X1627UQ
Neele Neele Ambar Par,Kishore Kumar,Bollywood Romantic,5:26,https://youtu.be/eVnG_Rqfgg4?si=llyR_YFZZDhk36on
Chura Liya Hai Tumne,Asha Bhosle & Mohammed Rafi,Classic Bollywood,4:48,https://youtu.be/XuCp0r3vhPQ?si=0mtqeSFzNYh7EbYF
Zindagi Ek Safar Hai,Kishore Kumar,Classic Bollywood,4:23,https://youtu.be/GjPGVVebVUc?si=oxKNdZ7fUyy1bu7E
Jane Woh Kaise Log The,Hemant Kumar,Classic Bollywood Sad,3:42,https://youtu.be/93evoW782eg?si=RYOX9zrZ7y4kemCH
Bade Achhe Lagte Hain,Amit Kumar,Classic Bollywood,5:18,https://youtu.be/p5EeJ9bHAOI?si=Ly6fDodxqhFlVIQk
Chhu Kar Mere Manko,Kishore Kumar,Classic Bollywood,3:10,https://youtu.be/4w9FBmbCfws?si=Othn7XO3CA5rmU0g
Ek Ajnabee Haseena Se,Kishore Kumar,Classic Bollywood Romantic,4:29,https://youtu.be/H7Y5a7Y-jng?si=HNAQdZ0Yl_Y4TFQA
Main Koi Aisa Geet,Abhijeet,Bollywood Romantic,5:17,https://youtu.be/vzlXfZlH5dk?si=_wbAY1PK__E1s2YN
Pal Pal Dil Ke Paas,Kishore Kumar,Classic Bollywood Romantic,5:04,https://youtu.be/AMuRRXCuy-4?si=er2Dahu5nyNR5fgq
Kya Hua Tera Vada,Mohammed Rafi & Sushma Shrestha,Classic Bollywood,4:25,https://youtu.be/Z5D1dhTMclI?si=Wr7HBYyxCOAePSbz
Hai Apna Dil To Aawara,Hemant Kumar,Classic Bollywood,4:24,https://youtu.be/r7eS2ELDarQ?si=V5Of6CyiBZBmKwyR
Main Pal Do Pal Ka Shair,Mukesh,Classic Bollywood,3:28,https://youtu.be/QkGqpVYjLUw?si=VkrKelKsIIf1FbNh
Kuchh To Log Kahenge,Kishore Kumar,Classic Bollywood,4:18,https://youtu.be/56I2rxRPRLY?si=tGre62Q3ZogDsiy9
Hothon Se Chhu Lo Tum,Jagjit Singh,Ghazal,4:58,https://youtu.be/Ee5sDeaNCnw?si=Z0yrZ2APxrSFt3PJ
Ek Pyar Ka Naghma Hai,Lata Mangeshkar & Mukesh,Classic Bollywood,6:08,https://youtu.be/HD6JPjWF9z4?si=0f-ltVf3WS_UqH48
Likhe Jo Khat Tujhe,Mohammed Rafi,Classic Bollywood Romantic,4:33,https://youtu.be/E1xPY3OiuzI?si=3N74ov7gwCYmJwH2
Sara Zamana,Kishore Kumar,Bollywood Disco,4:25,https://youtu.be/0AwkZihdw6E?si=qWbKqQr8zUN30apE
Har Kisiko Nahin Milta,Manhar Udhas,Bollywood Romantic,5:10,https://youtu.be/daGYnTH4lYw?si=qF27CCFGQtXhTOH4
Mere Samnewali Khidki Mein,Kishore Kumar,Classic Bollywood,3:12,https://youtu.be/S0WPSYFm7iE?si=Q8mDhPjvhtjiTQrF
Aaj Mausam Bada Beimaan Hai,Mohammed Rafi,Classic Bollywood,6:14,https://youtu.be/aSJ_jcEPOu0?si=GSAp_PUhdKrKQWc7
Na Tum Hamen Jano,Hemant Kumar,Classic Bollywood,3:16,https://youtu.be/VXbXqdOh8ow?si=OuqoTNabfAfATxgZ
